name,image_url,url,review_count,categories,rating,coordinates,price,phone,address
Happy Lemon,https://s3-media2.fl.yelpcdn.com/bphoto/cJ1aT3exAqmcQpJAelhN-w/o.jpg,https://www.yelp.com/biz/happy-lemon-foster-city-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,209,"tea,juicebars,bubbletea",3.5,"37.559109,-122.267134",$,16503763889,"['780 Alma Ln', 'Ste 170', 'Foster City, CA 94404']"
Teaspoon San Mateo,https://s3-media1.fl.yelpcdn.com/bphoto/Ch_ZY6_Bc4QfMXUg5j4deQ/o.jpg,https://www.yelp.com/biz/teaspoon-san-mateo-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,529,"bubbletea,shavedice,coffee",3.5,"37.564318,-122.3238431",$$,16503935727,"['128 E 3rd Ave', 'San Mateo, CA 94401']"
Feng Cha,https://s3-media2.fl.yelpcdn.com/bphoto/66W20ChvdhT0VJ3J1rj_qQ/o.jpg,https://www.yelp.com/biz/feng-cha-burlingame?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,272,"desserts,coffee,bubbletea",4.5,"37.586297,-122.364326",$$,16507813001,"['1199 Broadway', 'Ste 2', 'Burlingame, CA 94010']"
Yan's Tea,https://s3-media2.fl.yelpcdn.com/bphoto/qlyyMqYcehYU-Ure-iQNDg/o.jpg,https://www.yelp.com/biz/yans-tea-san-carlos?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,19,"bubbletea,tea,juicebars",4,"37.50307,-122.25658",,16505939777,"['885 Laurel St', 'San Carlos, CA 94070']"
Tea Hut,https://s3-media3.fl.yelpcdn.com/bphoto/G1ARrAd6hie7oYc_gVl1ow/o.jpg,https://www.yelp.com/biz/tea-hut-san-carlos?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,89,"bubbletea,juicebars,tea",3.5,"37.50534604764837,-122.25939346001607",$,,"['711 Laurel St', 'San Carlos, CA 94070']"
Tan Cha - San Mateo,https://s3-media3.fl.yelpcdn.com/bphoto/C42gR2ep3hcvcmJT8I8BmQ/o.jpg,https://www.yelp.com/biz/tan-cha-san-mateo-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,84,bubbletea,3.5,"37.56413,-122.32294",$$,,"['165 E 4th Ave', 'San Mateo, CA 94401']"
Cha Express,https://s3-media3.fl.yelpcdn.com/bphoto/ZThCptB6Jsmfqd98wkYCSg/o.jpg,https://www.yelp.com/biz/cha-express-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,424,bubbletea,4,"37.5650956481695,-122.322896495461",$,16508653148,"['212 E 3rd Ave', 'San Mateo, CA 94401']"
Sharetea Hillsdale,https://s3-media1.fl.yelpcdn.com/bphoto/zls9TRI4PjI_CnFm96asLg/o.jpg,https://www.yelp.com/biz/sharetea-hillsdale-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,129,"coffee,bubbletea",3,"37.5381291954768,-122.30129547614209",$,16504583028,"['78 Hillsdale Shopping Ctr', 'San Mateo, CA 94403']"
Sweet Moment,https://s3-media2.fl.yelpcdn.com/bphoto/aJUqtBnqBefn0KJqLbAp4Q/o.jpg,https://www.yelp.com/biz/sweet-moment-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,352,"desserts,bubbletea,chinese",4,"37.5648129008036,-122.323827428358",$,,"['137 E 3rd Ave', 'San Mateo, CA 94401']"
BAMBU,https://s3-media2.fl.yelpcdn.com/bphoto/saK3BxoOb2ZcggUDUkyZXw/o.jpg,https://www.yelp.com/biz/bambu-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,558,"juicebars,bubbletea,vietnamese",4,"37.5665365,-122.3232678",$,16505393004,"['153 South B St', 'San Mateo, CA 94401']"
Bobabia,https://s3-media4.fl.yelpcdn.com/bphoto/kkvOTxUpEhvt3ckCnkYMIw/o.jpg,https://www.yelp.com/biz/bobabia-san-mateo-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,473,"bubbletea,venues,juicebars",4,"37.5671965,-122.32544233",$,16503897077,"['271 Baldwin Ave', 'San Mateo, CA 94401']"
Boba Guys,https://s3-media4.fl.yelpcdn.com/bphoto/mrbchZ3UhkAhbLxrTj5wXg/o.jpg,https://www.yelp.com/biz/boba-guys-burlingame-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,97,bubbletea,4,"37.579644,-122.347529",$$,,"['1212 Donnelly Ave', 'Burlingame, CA 94010']"
Mr Green Bubble,https://s3-media4.fl.yelpcdn.com/bphoto/FRgV4nzll--0-rihVhsOXA/o.jpg,https://www.yelp.com/biz/mr-green-bubble-west-menlo-park?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,99,"bubbletea,coffee,juicebars",3.5,"37.453315,-122.183531",$$,16504944944,"['604 Santa Cruz', 'West Menlo Park, CA 94025']"
Yifang Taiwan Fruit Tea,https://s3-media1.fl.yelpcdn.com/bphoto/MFh4diSOcLDJfD4mVSYhtg/o.jpg,https://www.yelp.com/biz/yifang-taiwan-fruit-tea-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,107,bubbletea,4,"37.566817,-122.324028",$$,16507273963,"['110 S B St', 'San Mateo, CA 94401']"
Happy Lemon,https://s3-media3.fl.yelpcdn.com/bphoto/jv5O4PzzGNrB4fps-228UQ/o.jpg,https://www.yelp.com/biz/happy-lemon-burlingame-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,307,"juicebars,bubbletea",4,"37.5773026,-122.3486125",$,16503892723,"['1419 Burlingame Ave', 'Ste A', 'Burlingame, CA 94010']"
Blue Sky Café,https://s3-media3.fl.yelpcdn.com/bphoto/Dwb-WxgqL5oqd8m8mDaFcA/o.jpg,https://www.yelp.com/biz/blue-sky-caf%C3%A9-belmont-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,379,chinese,4.5,"37.51447,-122.268369",$$,16505950228,"['1625 El Camino Real', 'Ste 9', 'Belmont, CA 94002']"
Spill The Tea,https://s3-media3.fl.yelpcdn.com/bphoto/H6yafXtx6VGtSfO77mCQag/o.jpg,https://www.yelp.com/biz/spill-the-tea-redwood-city-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,69,"coffee,bubbletea,cafes",3.5,"37.483934,-122.23264",,16507718181,"['1036 El Camino Real', 'Redwood City, CA 94063']"
Bobalicious,https://s3-media2.fl.yelpcdn.com/bphoto/AnKADiS3GiL52vCuRU7iag/o.jpg,https://www.yelp.com/biz/bobalicious-redwood-city-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,238,bubbletea,4.5,"37.487118,-122.229624",$$,16502988268,"['2202 Broadway St', 'Redwood City, CA 94063']"
Tea Juice,https://s3-media3.fl.yelpcdn.com/bphoto/ZOJqTMtMTrv-zyuiGXE6Dw/o.jpg,https://www.yelp.com/biz/tea-juice-san-carlos?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,41,"bubbletea,juicebars",4,"37.499279,-122.252735",,16503948916,"['1156 Laurel St', 'San Carlos, CA 94070']"
Ya-Ua Yogurt & Boba Tea,https://s3-media1.fl.yelpcdn.com/bphoto/5J4q_TpGHKYhJJeOs5XABg/o.jpg,https://www.yelp.com/biz/ya-ua-yogurt-and-boba-tea-belmont-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,110,"icecream,bubbletea,juicebars",3.5,"37.5102232,-122.2938208",$,16504861530,"['1090 Alameda de Las Pulgas', 'Belmont, CA 94002']"
Quickly,https://s3-media2.fl.yelpcdn.com/bphoto/pjNo5gRQiYQkRgdWSKhaUw/o.jpg,https://www.yelp.com/biz/quickly-foster-city-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,85,"coffee,bubbletea,asianfusion",3,"37.544414,-122.270628",$,16502930160,"['969K Edgewater Blvd', 'Foster City, CA 94404']"
KingKat Bar & Eatery,https://s3-media1.fl.yelpcdn.com/bphoto/nGTt5_XPBEfNZ5TPOOSRLA/o.jpg,https://www.yelp.com/biz/kingkat-bar-and-eatery-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,201,"asianfusion,bubbletea",4,"37.54368,-122.30661",$$,16504583838,"['33 W 25th Ave', 'San Mateo, CA 94403']"
Sharetea,https://s3-media1.fl.yelpcdn.com/bphoto/BcryAKtJx7yNxxhxxpsueA/o.jpg,https://www.yelp.com/biz/sharetea-san-mateo-7?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,105,"bubbletea,coffee,juicebars",3.5,"37.56634534027399,-122.32264943779249",$,16505811951,"['220 Main St', 'San Mateo, CA 94401']"
Jolly's Old-Fashioned Teas Cream,https://s3-media1.fl.yelpcdn.com/bphoto/01_b4wfm_dST5S9ud2DQKw/o.jpg,https://www.yelp.com/biz/jollys-old-fashioned-teas-cream-burlingame?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,11,"icecream,foodtrucks",4.5,"37.57772,-122.34575",,16507736473,"['216 Park Rd', 'Burlingame, CA 94010']"
YiFang Fruit Tea,https://s3-media3.fl.yelpcdn.com/bphoto/zp2BQwIdzmEaBXft_QzcDg/o.jpg,https://www.yelp.com/biz/yifang-fruit-tea-redwood-city?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,4,"bubbletea,fooddeliveryservices",5,"37.4787787,-122.2235299",,16502505720,"['1532 Main St', 'Ste 4', 'DoorDash Kitchen', 'Redwood City, CA 94063']"
Pink Pantherz Espresso,https://s3-media2.fl.yelpcdn.com/bphoto/XGpHcTkEPZeR8_LHKenNAw/o.jpg,https://www.yelp.com/biz/pink-pantherz-espresso-redwood-city-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,65,"coffee,bubbletea,juicebars",3,"37.47092,-122.21366",,12092042489,"['2797 El Camino Real', 'Redwood City, CA 94061']"
Lily's Creperie,https://s3-media4.fl.yelpcdn.com/bphoto/gnnH-oRx8mYr394VWx7S6Q/o.jpg,https://www.yelp.com/biz/lilys-creperie-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,334,"juicebars,creperies,bubbletea",4,"37.5200605,-122.3375857",$$,16503121579,"['108 De Anza Blvd', 'San Mateo, CA 94402']"
Teatime,https://s3-media4.fl.yelpcdn.com/bphoto/_21bzJ2k_ZPawLqPVH6I4g/o.jpg,https://www.yelp.com/biz/teatime-redwood-city?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,109,"bubbletea,coffee,tea",4,"37.4846042071457,-122.232427139501",$$,16502999888,"['1003 El Camino Real', 'Redwood City, CA 94063']"
Happy Lemon,https://s3-media1.fl.yelpcdn.com/bphoto/uy_gQaKp7W9J8rIRfugXZA/o.jpg,https://www.yelp.com/biz/happy-lemon-redwood-city-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,44,"bubbletea,coffee",4.5,"37.4860015,-122.2289533",$$,14154650543,"['851 Middlefiel Rd', 'Redwood City, CA 94063']"
Meet Fresh,https://s3-media2.fl.yelpcdn.com/bphoto/igRyRF_cSLgejrafaWPqNA/o.jpg,https://www.yelp.com/biz/meet-fresh-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,344,"desserts,bubbletea,shavedice",2.5,"37.56579,-122.3223",$$,16505131416,"['277 S B St', 'San Mateo, CA 94401']"
Teaspoon,https://s3-media4.fl.yelpcdn.com/bphoto/burlh1NRIS1mAOQbLjMLPA/o.jpg,https://www.yelp.com/biz/teaspoon-redwood-city?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,209,"bubbletea,shavedsnow,coffee",3.5,"37.4861601263273,-122.230740152299",$,16503623488,"['2361 Broadway St', 'Redwood City, CA 94063']"
Tea It Up,https://s3-media2.fl.yelpcdn.com/bphoto/vvW3-e-nrE7FpMQqRfjQkg/o.jpg,https://www.yelp.com/biz/tea-it-up-menlo-park?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,129,bubbletea,4,"37.452653,-122.181579",$$,16503132138,"['993 El Camino Real', 'Menlo Park, CA 94025']"
Dessert Republic,https://s3-media4.fl.yelpcdn.com/bphoto/-4-EPIaVBWArGq3Yt3RJww/o.jpg,https://www.yelp.com/biz/dessert-republic-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,831,"chinese,desserts,coffee",3.5,"37.5669004,-122.3234145",$,16504013570,"['138 Main St', 'San Mateo, CA 94401']"
Tpumps - Burlingame,https://s3-media3.fl.yelpcdn.com/bphoto/S67U6acCyyeefY34oSDhew/o.jpg,https://www.yelp.com/biz/tpumps-burlingame-burlingame?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,533,"bubbletea,coffee",4,"37.5794379623736,-122.34590301239",$,15103988499,"['1118 Burlingame Ave', 'Burlingame, CA 94010']"
Quickly,https://s3-media2.fl.yelpcdn.com/bphoto/JIFPznMUre7lCL2E49Keqw/o.jpg,https://www.yelp.com/biz/quickly-redwood-city?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,164,"bubbletea,juicebars",3,"37.4917931901457,-122.224192531477",$,16507528950,"['300 Walnut St', 'Redwood City, CA 94063']"
Pho Little Saigon,https://s3-media4.fl.yelpcdn.com/bphoto/WDuqxkN-Z-mAzUCGX9CJmA/o.jpg,https://www.yelp.com/biz/pho-little-saigon-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,600,vietnamese,3,"37.5445885811679,-122.284968805752",$,16503451535,"['2978 S Norfolk St', 'San Mateo, CA 94403']"
Chuck's Coffee & Donuts,https://s3-media2.fl.yelpcdn.com/bphoto/wXLd_HJ0j6EMdCvaeqodYQ/o.jpg,https://www.yelp.com/biz/chucks-coffee-and-donuts-san-carlos?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,73,"donuts,coffee,desserts",4,"37.509597,-122.261161",$,16505220299,"['495 Old County Rd', 'San Carlos, CA 94070']"
Jolly's Old-Fashioned Teas Cream,https://s3-media4.fl.yelpcdn.com/bphoto/v7q2nNuInj6n4woIfWek1A/o.jpg,https://www.yelp.com/biz/jollys-old-fashioned-teas-cream-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,12,"icecream,foodtrucks",4,"37.53356,-122.29585",,16507736473,"['81 37th Ave', 'San Mateo, CA 94403']"
Cherimoya,https://s3-media4.fl.yelpcdn.com/bphoto/sVdyaVEuGs780FDYa5AevQ/o.jpg,https://www.yelp.com/biz/cherimoya-burlingame?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,420,"vietnamese,sandwiches,noodles",4,"37.57751,-122.34819",$,16503421812,"['1407 Burlingame Ave', 'Burlingame, CA 94010']"
Waterfront Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/Im8X5DlQmBXTU_XA67Yojw/o.jpg,https://www.yelp.com/biz/waterfront-cafe-burlingame?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,17,"cafes,bubbletea",4.5,"37.590323,-122.34142",$,16503758888,"['500 Airport Blvd', 'Ste 121', 'Burlingame, CA 94010']"
Tea Plus Noodle,https://s3-media3.fl.yelpcdn.com/bphoto/UA8QHRubXggovEpo7kc6XA/o.jpg,https://www.yelp.com/biz/tea-plus-noodle-burlingame?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,315,"chinese,vietnamese,noodles",3.5,"37.578555,-122.344247",$$,16506851698,"['1100-D Howard Ave', 'Burlingame, CA 94010']"
The Posh Bagel,https://s3-media2.fl.yelpcdn.com/bphoto/D2-3y4xpduS41_bFU-4EGw/o.jpg,https://www.yelp.com/biz/the-posh-bagel-menlo-park?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,144,"bakeries,bagels",2.5,"37.45012,-122.18542",$$,16503298592,"['869 Santa Cruz Ave', 'Menlo Park, CA 94025']"
Happy Lemon,https://s3-media4.fl.yelpcdn.com/bphoto/jZg7sGniZnXJ6Sk9KRTJ2g/o.jpg,https://www.yelp.com/biz/happy-lemon-redwood-city?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,3,"bubbletea,coffee",5,"37.4860015,-122.2289533",,,"['851 Middlefiel Rd', 'Redwood City, CA 94063']"
Sushi Plus,https://s3-media1.fl.yelpcdn.com/bphoto/XgKJjXqpB3QZJQRKzzWfZw/o.jpg,https://www.yelp.com/biz/sushi-plus-redwood-city-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,806,"japanese,sushi,vegetarian",4,"37.45781072099216,-122.22890948618037",$$,16502610799,"['30 Woodside Plz', 'Redwood City, CA 94061']"
Jiaren Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/3QvBSQ6s2lfxa9ExxDFa-g/o.jpg,https://www.yelp.com/biz/jiaren-cafe-santa-clara-3?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,409,"coffee,desserts,bubbletea",4.5,"37.34855903388084,-121.94573524108979",$$,14087805199,"['1171 Homestead Rd', 'Ste 140B', 'Santa Clara, CA 95050']"
Bayleaf Tea,https://s3-media2.fl.yelpcdn.com/bphoto/S2uCuj7hP4fMxR2kDb3B6A/o.jpg,https://www.yelp.com/biz/bayleaf-tea-milpitas?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,123,"bubbletea,coffee,desserts",5,"37.42141757396315,-121.9216664",$$,16692529423,"['367 Cypress Dr', 'Milpitas, CA 95035']"
X Tea,https://s3-media4.fl.yelpcdn.com/bphoto/ZS4KP3QFTBET2AnN7X3lVw/o.jpg,https://www.yelp.com/biz/x-tea-san-jose-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,13,bubbletea,4,"37.372816,-121.873768",,14086493313,"['1694 Berryessa Rd', 'San Jose, CA 95133']"
